contest,repo_hash,Property,severity,our_confidence,our_tag,our_subtag,gold_tag (fill if wrong),gold_subtag (fill if wrong),description
(unmapped),e7921851ec01,100,Medium,high,Arithmetic,Precision Loss,,,"possible precision loss in D3VaultLiquidation.finishLiquidation() function when calculating realDebt because of division before multiplication. Source: ## Found by 0xdice91, BugBusters, BugHunter101, Kalyan-Singh, MohammedRizwan, Oxhunter526, PRAISE, amaechieth, kutugu ## Summary finishLiquidation() divides before multiplying when calculating realD"
(unmapped),1167ec3a176e,104,High,high,Access Control,Asset Theft,,,A malicious executor can delete the fees belonging to the owner of `ArrakisStandardManager`. Source: ## Found by juaan ## Summary The contest README states that the executor of ArrakisStandardManager is a RESTRICTED role during rebalance action on vaults. This report shows a way for the executor to call ArrakisStandardManager::rebalance() with a ma
(unmapped),1167ec3a176e,105,High,high,Logic error,Implementation Error,,,"Incorrect handling of first deposit for new modules leads to all liquidity sent to vault manager. Source: ## Found by cu5t0mPe0, juaan ## Summary See detail. ## Vulnerability Detail The following logic is implemented in ValantisHOTModulePublic.deposit() : solidity (uint256 _amt0, uint256 _amt1) = pool.getReserves(); if (!notFirstDeposit) { if (_amt"
(unmapped),1167ec3a176e,106,High,high,Access Control,Asset Theft,,,"Through rebalance(), an executor can drain 100% of vault reserves by minting cheap shares. Source: ## Found by juaan ## Summary The contest README states the following: > Executor of ArrakisStandardManager is RESTRICTED during rebalance action on vaults. This is a complex attack performed by a malicious executor to drain a vault during rebalance. I"
(unmapped),1167ec3a176e,107,High,high,Access Control,Asset Theft,,,"ArrakisMetaVault::setModule Malicious executor can drain the vault by calling withdraw after initializePosition. Source: ## Found by cergyk, cu5t0mPe0, iamandreiski, juaan ## Summary A malicious executor, after a new module is whitelisted by an admin, can drain the vault by calling ArrakisStandardManager.setModule() with a malicious payloads_. ## V"
(unmapped),1167ec3a176e,108,High,high,DoS,Implementation Error,,,"Adding liquidity can be `DoS`ed due to calculation mismatches. Source: ## Found by KupiaSec, cu5t0mPe0, juaan, whitehair0330 ## Summary When users add liquidity, they send tokens to the ArrakisPublicVaultRouter contract. The ValantisHOTModulePublic contract then takes the required tokens from the ArrakisPublicVaultRouter contract. However, due to a"
(unmapped),1167ec3a176e,109,High,high,Slippage,Invalid Slippage Control / Missing slippage check,,,"ArrakisMetaVaultPrivate::fund No slippage control on private vault deposit can cause unlimited loss to owner. Source: The protocol has acknowledged this issue. ## Found by cergyk, juaan ## Summary An attacker can front-run a deposit transaction for an ArrakisMetaVaultPrivate, forcing the depositor to deposit in an unbalanced way. This increases liq"
(unmapped),1167ec3a176e,110,Medium,high,ERC20,safeApprove,,,"USDT is not supported. Source: ## Found by cu5t0mPe0 ## Summary When approving USDT, the allowance value needs to be set to 0 first before it can be used correctly. However, the 4.9.5 version of OpenZeppelin does not internally call forceApprove. ## Vulnerability Detail Users can perform swap operations using RouterSwapExecutor, but the actual amou"
(unmapped),592eed5791df,111,Medium,high,DoS,Precision Loss,,,"Attacker will prevent distribution of USDC to stakers through frequent reward updates. Source: ## Found by aslanbek, eeyore, g, tedox ### Summary USDC's lower precision of 6 decimals and frequent reward updates will cause stakers to receive 0 of the allotted 10K USDC weekly rewards. > distributions should be done at the pace of 10k per week until f"
(unmapped),103f39b0f29b,112,Medium,high,DoS,Precision Loss,,,"Pairs with ""MAX_FEE"" can revert due to rounding inconsistencies. Source: ## Found by KingNFT, Kow, cawfree, mstpr-brainbot ## Summary If the pair has set the max fee by the fee controller admin which is ""1_000"" then depending on the amount to be swapped, the tx can revert due to rounding error. ## Vulnerability Detail When the fee amount is calcula"
