Property,repo_path,severity,tag,subtag,description
1,2cceea6fb3e4,High,"ERC721, Input Validation",Not EIP Compliant,"The function implements an incorrect input validation requiring the index to be greater than 0, making the token at index 0 inaccessible. This violates the ERC721 specification which expects zero-based indexing."
2,2cceea6fb3e4,High,"Input Validation, Replay Attack",Invalid Validation,"The contract uses raw ecrecover without enforcing canonical (s/v) constraints, so the same message can have multiple valid-equivalent signatures due to signature malleability. While current logic tracks/cancels accepted offers to mitigate replays, the verification layer still relies on application flow, making replay risk possible if the logic changes."
3,2cceea6fb3e4,High,"ERC721, Input Validation","Asset Theft, Invalid Validation","The verify function fails to check if the address recovered by ecrecover is the zero address, allowing invalid signatures (which return address(0)) to pass verification. This enables attackers to transfer ERC721 tokens owned by the zero address, such as unminted tokens."
4,2cceea6fb3e4,High,Input Validation,Invalid Validation,"verify does not handle the case where ecrecover returns address(0) for invalid signatures, so setting signer/maker to address(0) can make arbitrary signatures pass and bypass authorization. In addition, idToOwner defaults unminted tokenIds to address(0), letting attackers target non-minted NFTs within the trade/transfer flow."
5,2cceea6fb3e4,High,Logic Error,Bad Condition,"
 The function uses an incorrect comparison operator (<) when validating the index upper bound, making the last token index equal to TOKEN_LIMIT inaccessible, resulting in an Off-by-one error.
"
6,2cceea6fb3e4,High,Logic Error,Invalid Validation,"The getPrice function incorrectly returns 0 instead of reverting after the sale ends, allowing attackers to exploit this logic error to mint the remaining NFTs for free."
7,2cceea6fb3e4,Medium,DoS,Out of Gas,"The withdraw function utilizes transfer which enforces a fixed gas stipend (2300 gas), potentially causing the transaction to fail with Out of Gas due to complex receiver logic or EVM gas model changes (e.g., EIP-2929)."
8,2cceea6fb3e4,Medium,Bad Randomness,Bad Condition,"
 The contract derives “randomness” from keccak256(nonce, msg.sender, block.difficulty, block.timestamp), where block.* values are predictable/manipulable and some inputs are user-controlled, enabling miner influence and attacker grinding to bias selection toward specific tokenIds.
"
9,2cceea6fb3e4,Medium,DoS,Out of Gas,"instead of call() , transfer() is used to withdraw the ether"
10,b30036fd8ad6,High,"DoS, Logic Error","Stale Value, State Update Inconsistency","The transferERC721 function fails to clear the corresponding timelockERC721s mapping entry when an NFT is transferred out. This results in the system referencing stale data upon re-deposit, incorrectly enforcing previous timelock conditions and permanently locking the asset."
11,b30036fd8ad6,High,Access Control,Cannot Revoke,"The contract treats nftApprovals as a one-way switch: approveTransferERC721() has no revocation path, and transferERC721() does not clear nftApprovals after a successful transfer.As a result, a stale delegate approval persists across future deposits, enabling a previously approved/compromised delegate to transfer the NFT out again (asset theft)."
12,b30036fd8ad6,High,Access Control,Asset Theft,"The transferERC721 function fails to reset NFT approvals upon transfer, resulting in stale value persistence. This allows a previous delegate to exploit the lingering approval to steal the asset if it is re-deposited."
13,b30036fd8ad6,High,DoS,Out of Gas,"The _removeNft function relies on an unbounded loop over the nfts array, which can be inflated via the permissionless onERC721Received callback. This allows attackers to cause a DoS where legitimate withdrawals fail due to Out of Gas."
14,b30036fd8ad6,Medium,ERC20,Missing Return Check,"timeLockERC20() calls transferFrom() without checking its return value (instead of using a safeTransferFrom-style wrapper), so a failed transfer can be treated as successful.This updates accounting state like timelockERC20Balances without the vault actually receiving tokens, causing later unlock/transfer failures and misleading recipients."
15,b30036fd8ad6,Medium,Logic Error,"Stale Value, State Update Inconsistency","The transferERC721 function fails to delete the corresponding timelockERC721s mapping entry after transferring an NFT. This results in stale value persistence, causing state inconsistency if the NFT is re-deposited into the contract."
16,b30036fd8ad6,Medium,DoS,Out of Gas,"The timelockERC721Keys array can grow indefinitely, causing the contract to consume excessive gas when iterating through it, potentially leading to a DoS due to exceeding the block gas limit."
17,37dd0c2e7de6,High,Arithmetic,Token Decimal,Incorrect decimal scaling leads to token inflation.
18,37dd0c2e7de6,High,Accounting Error,Bad Condition,"Returning early when totalSupply is 0 results in lastUpdated not being updated, which disrupts the reward accumulation baseline and allows the first token holder to claim all historical rewards."
19,37dd0c2e7de6,High,Arithmetic,Token Decimal,"The contract does not maintain consistency between reward token types and users’ reward bindings. If the previous period’s reward token and the current period’s reward token have different decimals, users can claim more tokens than intended (e.g., DAI → USDC)."
20,37dd0c2e7de6,High,Arithmetic,Precision Loss,"reward and timeDelta are too small while totalSupply is too large, causing the multiplication/division result to round to zero."
21,37dd0c2e7de6,High,Oracle,Hardcoded Parameter,CTokenMultiOracle defaults Compound’s exchange rate to 1e18. This results in incorrect price calculations.
22,37dd0c2e7de6,Medium,ERC20,Missing Return Check,"The contract does not properly check the return value of ERC20 token transfer functions, this can result in failed token transfers being incorrectly treated as successful, and cause transaction reverts for tokens like USDT that do not return a boolean success value."
23,37dd0c2e7de6,Medium,DoS,Duplicate Value,"txHash is calculated using only targets and data, ignoring eta. The same transaction data cannot be scheduled a second time."
